t,step,s,lap,x,y,Ux,v_ref,v_err,a_cmd,acc,brake,e,dphi,delta,steer,delta_ff,delta_fb,beta,r,r_des,w_meas,x_la,gain_scale,dt,kappa,kappa_abs
120.176853,819,878.7748879263745,0,519.3900756835938,-126.67694091796875,39.073448181152344,39.97011549153383,0.8966673103814884,0.5297985835197725,-0.892986259897378,-1.0,1.4876439581712644,-0.0065008706368869795,0.05751699407509914,0.27462341756517855,0.036697534949014184,0.020819459126084957,0.025464714742012253,-0.6556370854377747,0.6387480016231664,1.0,8.0,1.0,0.04046329999999898,0.016347367108779407,0.016347367108779407
120.2165217,820,880.3583665819679,0,519.294677734375,-128.2349090576172,38.830013275146484,39.92828872906582,1.0982754539193351,0.9111885942641597,-0.8178896536294947,-1.0,1.5080706778272854,-0.016919817797274472,0.05526619885105532,0.26387666199135246,0.036536696777019165,0.018729502074036154,0.02542339197629516,-0.7269493937492371,0.6341525177410714,1.0,8.0,1.0,0.03966870000000711,0.016331504015914582,0.016331504015914582
120.2568224,821,881.8073911904503,0,519.156494140625,-129.77833557128906,38.63559341430664,39.8210518582332,1.1854584439265565,0.7469603560594259,-0.8519586998586376,-1.0,1.5259439846724292,-0.007978269862504384,0.05742557156521052,0.2741869072344193,0.03637141386350009,0.02105415770171043,0.026160868118781256,-0.6697781682014465,0.6298296972633757,1.0,8.0,1.0,0.040300700000003076,0.016301799496371956,0.016301799496371956
120.2970686,822,883.2588106547337,0,518.977783203125,-131.30963134765625,38.43852615356445,39.75480359243686,1.3162774388724046,1.0416332179859735,-0.79528933823988,-1.0,1.5424541775904899,-0.018880904300227375,0.0550093462226046,0.2626502810274301,0.03621514154779955,0.01879420467480505,0.023979116586198806,-0.5955092310905457,0.6260552843139406,1.0,8.0,1.0,0.040246199999998566,0.01628718233921895,0.01628718233921895
120.3365982,823,884.791107820638,0,518.759033203125,-132.82742309570312,38.21529769897461,39.59625332789895,1.3809556289243403,0.9806642701015184,-0.8090861762166881,-1.0,1.5510992585173153,-0.011189582856128588,0.056746564285045646,0.2709448862834106,0.03605367946419549,0.020692884820850153,0.02233792398298582,-0.6959068179130554,0.6211751192108291,1.0,8.0,1.0,0.0395295999999945,0.016254619396239754,0.016254619396239754
120.3763781,824,886.2308951281739,0,518.5009155273438,-134.33047485351562,38.02865982055664,39.50419312482035,1.4755333042637062,1.195356997153791,-0.76910789366048,-1.0,1.5595404475289056,-0.021677569826062282,0.054305186404237316,0.2592881655528348,0.03589792075129806,0.01840726565293926,0.02525144368703208,-0.7293323278427124,0.6173673200502899,1.0,8.0,1.0,0.0397798999999992,0.016234264445905297,0.016234264445905297
120.417189,825,887.6637031416612,0,518.205078125,-135.8255615234375,37.84804916381836,39.29671682683596,1.448667663017602,0.8745860987325237,-0.8323345141993866,-1.0,1.5624460304711476,-0.018699511878805808,0.05485833209489855,0.2619292416803962,0.03572252936995667,0.019135802724941878,0.02692588278594602,-0.586479902267456,0.6122270305388399,1.0,8.0,1.0,0.040810899999996764,0.016175920399197515,0.016175920399197515
120.4568493,826,889.1779362523812,0,517.874267578125,-137.29946899414062,37.65399169921875,39.18294294135562,1.5289512421368698,1.2654039923338707,-0.7593512048520651,-1.0,1.564267913183161,-0.0258064750098006,0.05307568591406046,0.2534177331364681,0.03554715646856718,0.017528529445493275,0.023223586965233963,-0.6124769449234009,0.607461652435743,1.0,8.0,1.0,0.03966030000000842,0.01613272922797045,0.01613272922797045
120.4970193,827,890.5835113341891,0,517.5057373046875,-138.75433349609375,37.39421081542969,39.06407650602298,1.6698656905932907,1.6170834999627441,-0.6957273819847093,-1.0,1.559322103132459,-0.03497160929159504,0.0506971664833692,0.24206113939742907,0.035350805073449176,0.015346361409920024,0.024212708007612424,-0.8043176531791687,0.6011419758206388,1.0,8.0,1.0,0.04017000000000337,0.016075803251678577,0.016075803251678577
120.5378501,828,892.0802277853363,0,517.0941772460938,-140.21153259277344,37.253623962402344,38.73185295318229,1.4782289907799466,0.5659242451803459,-0.8941217683731283,-1.0,1.5516645494377896,-0.03622500275351648,0.05002615002775486,0.2388572718232183,0.0350829324194968,0.014943217608258057,0.02898614370829032,-0.658263623714447,0.5925054570866137,1.0,8.0,1.0,0.04083079999999484,0.015904639443523425,0.015904639443523425
