pos_x,pos_y,speed,yaw,lap_dist,spline_pos
-129.225,-66.3461,27.9529,-2.209849,675.32,0.133018
-129.8994,-67.2468,28.335,-2.231513,676.41,0.133232
-130.6042,-68.145,28.74,-2.255748,677.52,0.133451
-131.3392,-69.0395,29.1544,-2.279372,678.73,0.133689
-132.1063,-69.9288,29.5789,-2.306459,679.87,0.133914
-132.9071,-70.8102,29.956,-2.337691,681.03,0.134142
-133.7421,-71.6821,30.3983,-2.367452,682.3,0.134392
-134.6101,-72.544,30.7819,-2.395275,683.49,0.134626
-135.5114,-73.3964,31.2375,-2.422452,684.7,0.134864
-136.445,-74.2409,31.7047,-2.446475,686.02,0.135126
-137.4101,-75.0776,32.1639,-2.47134,687.27,0.135372
-138.4082,-75.9027,32.5725,-2.500242,688.54,0.135622
-139.4377,-76.716,33.0177,-2.526811,689.93,0.135895
-140.4987,-77.5152,33.3968,-2.549403,691.24,0.136153
-141.5919,-78.2949,33.7375,-2.570302,692.55,0.136412
-142.7148,-79.0585,34.1837,-2.588255,693.99,0.136695
-143.8701,-79.8072,34.6412,-2.608246,695.34,0.136961
-145.0563,-80.5402,35.078,-2.634887,696.71,0.13723
-146.2739,-81.2578,35.5965,-2.660722,698.2,0.137525
-147.5243,-81.9556,36.001,-2.684039,699.6,0.137801
-148.8043,-82.632,36.3878,-2.70597,701.02,0.13808
-150.1145,-83.2872,36.8638,-2.725348,702.56,0.138384
-151.4545,-83.923,37.3186,-2.74484,704.01,0.13867
-152.8247,-84.5403,37.8074,-2.765268,705.48,0.138959
-154.2247,-85.1375,38.3143,-2.785509,707.08,0.139274
-155.6539,-85.7142,38.7689,-2.806519,708.59,0.139571
-157.1122,-86.2701,39.2534,-2.828431,710.11,0.139871
-158.5996,-86.8029,39.7622,-2.849286,711.77,0.140198
-160.1164,-87.3103,40.2453,-2.870615,713.33,0.140505
-161.663,-87.7911,40.7477,-2.890942,714.91,0.140816
-163.2384,-88.2434,41.2323,-2.909353,716.63,0.141155
-164.84,-88.6685,41.6772,-2.92767,718.25,0.141473
-166.4676,-89.0686,42.1607,-2.945721,719.88,0.141795
-168.122,-89.4389,42.6516,-2.964049,721.66,0.142145
-169.8022,-89.7808,43.1532,-2.981114,723.33,0.142474
-171.5078,-90.0933,43.5827,-2.998298,725.02,0.142807
-173.2354,-90.376,44.0028,-3.018362,726.86,0.143169
-174.9848,-90.6282,44.4405,-3.042217,728.58,0.143508
-176.7568,-90.8452,44.8778,-3.070721,730.32,0.143851
-178.5513,-91.0252,45.3731,-3.094708,732.21,0.144223
-180.367,-91.1684,45.79,-3.114394,733.99,0.144573
-182.2023,-91.2774,46.2378,-3.131316,735.78,0.144927
-184.0589,-91.3556,46.7875,-3.138686,737.73,0.145311
-185.9364,-91.4076,47.2504,-3.139,739.57,0.145672
-187.8327,-91.4469,47.7204,-3.131914,741.42,0.146037
-189.7479,-91.4906,48.1885,-3.11578,743.44,0.146434
-191.678,-91.5522,48.3801,-3.094728,745.32,0.146806
-193.6144,-91.6394,48.5519,-3.072337,747.21,0.147178
-195.5542,-91.7565,48.8203,-3.051196,749.25,0.147581
-197.505,-91.9061,49.1781,-3.027829,751.18,0.147959
-199.4675,-92.0918,49.5134,-3.005062,753.09,0.148335
-201.4367,-92.3174,49.7191,-2.984583,755.17,0.148745
-203.4061,-92.5827,49.7815,-2.964598,757.1,0.149126
-205.3691,-92.8888,49.7035,-2.944359,759.04,0.149508
-207.3212,-93.2338,49.577,-2.92621,761.12,0.149918
-209.2607,-93.615,49.3673,-2.908613,763.05,0.150298
-211.1816,-94.0318,49.0544,-2.884999,764.97,0.150676
-213.0803,-94.4885,48.75,-2.858546,767.02,0.151079
-214.9579,-94.9867,48.4993,-2.836136,768.92,0.151454
-216.8143,-95.5211,48.2224,-2.814728,770.8,0.151825
-218.6494,-96.088,47.9293,-2.790686,772.83,0.152224
-220.4621,-96.6893,47.6499,-2.768475,774.7,0.152593
-222.2497,-97.3268,47.3426,-2.745475,776.56,0.152958
-224.011,-97.9997,47.0149,-2.723533,778.54,0.15335
-225.7454,-98.7069,46.7107,-2.70148,780.38,0.15371
-227.4525,-99.4475,46.4019,-2.677652,782.2,0.15407
-229.1304,-100.2223,46.0742,-2.655421,784.15,0.154454
-230.7783,-101.0312,45.7612,-2.631892,785.95,0.154808
-232.3944,-101.8746,45.4465,-2.605015,787.73,0.155159
-233.9766,-102.7535,45.1164,-2.580183,789.64,0.155535
-235.5258,-103.6655,44.8209,-2.556865,791.4,0.155882
-237.0413,-104.6099,44.5258,-2.530093,793.15,0.156226
-238.5237,-105.5837,44.2056,-2.5057,795.02,0.156595
-239.9708,-106.5881,43.9106,-2.481501,796.74,0.156934
-241.3836,-107.6202,43.628,-2.456085,798.45,0.157271
-242.7625,-108.6781,43.3086,-2.43486,800.28,0.157631
-244.1061,-109.7609,42.9978,-2.410361,801.97,0.157963
-245.4129,-110.8671,42.6589,-2.384392,803.64,0.158293
-246.6809,-111.9976,42.3155,-2.358984,805.43,0.158645
-247.9099,-113.1515,42.0009,-2.334166,807.07,0.158968
-249.1007,-114.3268,41.6935,-2.308481,808.7,0.15929
-250.2531,-115.5227,41.3828,-2.28393,810.45,0.159634
-251.3667,-116.7391,41.103,-2.258564,812.06,0.15995
-252.4414,-117.9755,40.833,-2.231699,813.65,0.160265
-253.4761,-119.2315,40.5664,-2.207771,815.36,0.160601
-254.4732,-120.505,40.3165,-2.184891,816.94,0.160912
-255.4314,-121.7952,40.064,-2.159551,818.5,0.16122
-256.3517,-123.1,39.7945,-2.135901,820.17,0.161549
-257.2321,-124.4198,39.5365,-2.111649,821.72,0.161853
