pos_x,pos_y,speed,target_speed,yaw,lap_dist,spline_pos
183.6479,124.4308,86.5275,28.3041,-0.563315,450.36,0.098077
185.1113,123.507,86.5505,28.1491,-0.563094,452.18,0.098474
186.5751,122.5832,86.566,28.0261,-0.562931,453.74,0.098813
188.0394,121.6595,86.5789,27.8791,-0.56278,455.56,0.099209
189.504,120.736,86.5981,27.7214,-0.56262,457.37,0.099605
190.9691,119.8123,86.6238,27.5935,-0.562466,458.94,0.099946
192.4348,118.8886,86.6516,27.4518,-0.562372,460.75,0.10034
193.901,117.9647,86.6742,27.3111,-0.562259,462.57,0.100736
195.3676,117.0409,86.6834,27.1839,-0.562149,464.13,0.101075
196.8339,116.1173,86.6053,27.0373,-0.562059,465.95,0.101472
198.2985,115.1951,86.5519,26.8947,-0.561978,467.76,0.101867
199.7634,114.2727,86.5785,26.7725,-0.561937,469.33,0.102208
201.2286,113.3501,86.5947,26.6243,-0.561938,471.14,0.102603
202.6939,112.4274,86.5999,26.4766,-0.561997,472.96,0.102999
204.1588,111.5047,86.5288,26.3502,-0.562078,474.52,0.103339
205.6218,110.5829,86.4748,26.2067,-0.562235,476.33,0.103734
207.0849,109.6608,86.5002,26.0595,-0.56238,478.15,0.10413
208.5482,108.7383,86.5083,25.9374,-0.562508,479.71,0.104468
210.0114,107.8155,86.5231,25.7974,-0.562647,481.53,0.104865
211.475,106.8922,86.5589,25.6571,-0.562782,483.35,0.105261
212.939,105.9684,86.5858,25.5382,-0.562887,484.9,0.1056
214.4034,105.0442,86.606,25.3994,-0.563,486.72,0.105996
215.8679,104.1196,86.6202,25.2644,-0.563146,488.54,0.106392
217.3325,103.1947,86.6366,25.1467,-0.563272,490.11,0.106733
218.7973,102.2694,86.6607,25.0151,-0.563407,491.93,0.10713
220.2624,101.3436,86.6871,24.8705,-0.563534,493.74,0.107524
221.7278,100.4174,86.7102,24.748,-0.563652,495.31,0.107865
223.1935,99.4907,86.7354,24.6092,-0.563793,497.13,0.108262
224.6595,98.5636,86.7571,24.4732,-0.56392,498.95,0.108659
226.1257,97.6361,86.7726,24.3565,-0.564013,500.51,0.108999
227.5921,96.7084,86.7949,24.2205,-0.564106,502.33,0.109396
229.0588,95.7802,86.8161,24.084,-0.564188,504.16,0.109793
230.5246,94.8525,86.6904,23.9813,-0.564285,505.72,0.110133
231.9889,93.9255,86.6745,23.9684,-0.564384,507.55,0.110531
233.4532,92.9982,86.6967,24.0142,-0.564504,509.36,0.110925
234.9178,92.0706,86.7175,24.0478,-0.5646,510.92,0.111266
236.3827,91.1425,86.7477,24.0853,-0.564704,512.75,0.111663
237.8481,90.214,86.7741,24.1084,-0.56478,514.56,0.112059
239.3138,89.2852,86.791,24.1192,-0.564824,516.13,0.112399
240.7797,88.356,86.8061,24.1339,-0.56492,517.95,0.112796
242.2449,87.4272,86.684,24.1371,-0.565005,519.77,0.113193
243.7084,86.4992,86.6674,24.1164,-0.565112,521.33,0.113533
245.172,85.571,86.6954,24.0326,-0.565206,523.15,0.113929
246.6359,84.6424,86.7166,23.8999,-0.565261,524.97,0.114325
248.1001,83.7136,86.7317,23.785,-0.565301,526.53,0.114666
249.5648,82.7844,86.7632,23.6582,-0.565329,528.35,0.115063
251.0299,81.8549,86.788,23.5304,-0.56534,530.18,0.11546
252.4952,80.9252,86.7943,23.4191,-0.565361,531.74,0.1158
253.9596,79.9961,86.6661,23.2829,-0.565369,533.56,0.116197
255.4225,79.068,86.6576,23.1504,-0.56538,535.38,0.116592
256.9164,78.1201,86.6933,23.0186,-0.565403,537.2,0.116989
258.3801,77.1914,86.7088,22.9062,-0.565401,538.76,0.117328
259.844,76.2625,86.6971,22.7759,-0.565406,540.58,0.117724
261.3065,75.3346,86.567,22.6449,-0.56539,542.4,0.118122
262.7682,74.4074,86.588,22.5367,-0.565318,543.97,0.118462
264.2304,73.4799,86.6162,22.4129,-0.565252,545.78,0.118857
265.6931,72.5523,86.6253,22.2853,-0.565135,547.6,0.119254
